id,chat,label
281,\xe2\x80\x9ctidak\xe2\x80\x9d salah khalifah rasyidin \xe2\x80\x9ckami memerangi orang kafir mereka\xe2\x80\x9d \xe2\x80\x9ckalau orangorang munafik\xe2\x80\x9d \xe2\x80\x9ctidak orang muna,neutral
282,doyan nete in maklumin aja kalo sangean,harassment
283,lihat match si kacrut bikin kalah ga tendang,violence
284,maap kemarin dc mati lampu sampe pagi,neutral
285,user user yg khawatirkan manuver politik kebijakan yg rezim semoga nkri tercinta aamiin,neutral
286,bajingan emang goblok banget kalo maen,violence
287,user bajingan tengik,violence
288,dasar kodok bangkong lambat gerakannya,violence
289,babi nongol tibatiba ilang tibatiba,violence
290,rp haneul cute rlnya perek ngaku aja,harassment
291,bilangnya anti asing asengnda taunya wkwkwkwkwk,racist
292,pulang cuci kaki bobok ga cocok maen malem gini,neutral
293,kadang hidup emang kayak tai kadang berak orang elo beresin tainya tangan lo y\xe2\x80\xa6,neutral
294,user ih banci selotipan \xf0\x9f\x98\x82,harassment
295,haha kalah ni yee org jahat kalah,neutral
296,lewatkan promosi besarbesaran dapatkan blender terbaik harga terjangkau url cepat beli kehabisan,neutral
297,emang anjing sih kelakuannya ga tau tu anak kayak gitu,violence
298,nantang buka dadalah eh nyebut setanlah emang habis kamus ngelawan,harassment
299,belah duren yaaaa\ngak dunguya gak cebong\xf0\x9f\x98\x80\xf0\x9f\x98\x86\nmaaf ya,harassment
300,2orangorang yahudi nasrani al kitab taurat injil mengenal muhammad,neutral
301,bunuh aja sisain inget abisin tim ampun,violence
302,dasar bacot lu mulut kayak jamban,violence
303,user sekedar share temen2 kantor kalo pelanggan yg bercadar langsung bilang awas bom menghela nafas \xf0\x9f\x98\xaf,neutral
304,gay lu dasar jomok,harassment
305,user yg diancam dibunuh presiden republik indonesia ma trus mesti lapor penegak hukum gak bertindak ancaman pembunuhan kepala negaranya,neutral
306,user kayak orang nyosor nete,harassment
307,user ngewe bae,harassment
308,user jebur bloon cebur,violence
309,getol dah naikin levelnya ga kerjaan laen,neutral
310,berani ga lw lawan gw,neutral
311,user kebijakan pengembalian barang kpd konsumen yg barang rusak cacat produksi konsumen puas dgn produk terhitung 7 tanggal pembelian\nhauzminiquiz hauzid\nyuk ikutan\nuser,neutral
312,kisah hidup muhammad lengkap didownload,neutral
313,penjajahan bumi indonesia hapus penjajahan ekonomi budaya hasil bumi cina basmi nkri usir cina,racist
314,user user user user user user we pipis onta tercecer mari pantes bau pesing,violence
315,sapi diperah susunya,neutral
316,sampe kalah bro savage aja maennya gitu,neutral
317,user user user user user user kaya monyet,violence
318,gimana menang lawan,neutral
319,mainnya takut takut maju,neutral
320,cuba la tgk anime ni karakai jozu no takagisan nak feeling feeling cinta monyet zaman sekolahmemang throwback habes910 url,neutral
321,serunya pesta budaya erau kutai kartanegara elu liburan kali,neutral
322,banget kenalan tante jilboob sange\nini namanya tante dea o\xe2\x80\xa6,harassment
323,debat publik ajang pembuktian pintar ruang akademik pamer ciamik orang kekuatan kelemahan egosentris namanya kekuatan menahan l,neutral
324,kacau lu geblek banget ga becus emang lawan noob aja kalah,violence
325,hebat banget maennya bikin gw pengen muntah muka lo,violence
326,user gk apa2 muslim menghinakan iblis betina sdh menista syariat,violence
327,user baby kafir budha teroris myanmar,racist
328,indonesia blom merdeka indonesia dijajah orang cina,racist
329,edan tenan maen taktiknya bagus pro banget,neutral
330,jongos mamarika ayo cepet tobat,racist
331,user user user user follow bli katolik akun prof user utk menambah wawasan berbangsaterima kasih,neutral
332,user tuh si bejat cabul user pengecut si onta ye,violence
333,dasar kebo jam segini bangun,violence
334,user gaya lu kaya beruk gini klo supir tembak metromini maen game\nkampungan lu,violence
335,user user km mainstream mengaartikan pintar pintar relatif tergantung mo dibawa kemana pengertiannya spt pintar mengundeeestimatekan org gw pinter komen ajah rejim now pinter mangkrakin janji2 doang somaking,violence
336,user emang gw dongo bloon idiot lo,violence
337,user user ih masak samain smaa sampah \xf0\x9f\x98\xa3\xf0\x9f\x98\xa3\xf0\x9f\x98\xa3,violence
338,konsumsi makanan sehat blender kekinian dapatkan diskon 15 terbatas buruan beli,neutral
339,aspirasi lina sumedang calon gubernur jabar berantas pelakor sdh meresahkan kehidupan warga desa,neutral
340,yaaelah chat aja loe urusin noh yg dah keliatan mesum pd mingkem yg nyata selingkuh 7th pura2 budek gk nyampe otaknya,harassment
341,user tu takut dgn cina parti dap bimbang fahaman dibawa,racist
342,cermin pecah berkaca,neutral
343,user lansung ngomong orangnya\nga berani ya kau banci,harassment
344,awwww comelnya budak pengen kujadikan adek,neutral
345,islam menjadikan manusia idealis realistis kehidupan lupa diajak kera diajak beristirahat,neutral
346,user kristus anjing asu jiamput keparat picek telek pejuh siwuk kotang siwuk idiot keparat picek telek pejuh siwuk kotang siwuk idiot keparat picek telek pejuh siwuk kotang siwuk idiot keparat picek telek pejuh siwuk kotang siwuk idiot keparat picek telek pejuh siwuk k,racist
347,perabotan dapur hidup praktis temukan peralatan dapur inovatif url nikmati penawaran spesial pembelian,neutral
348,butuh kemudahan mencuci pakaian cek koleksi mesin cuci terbaik dapatkan penawaran spesial diskon 30 minggu,neutral
349,user user ahhh perasaanmu utk menghibur cebong tdk bahagia presiden cebong tol cebong lha elo germo \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82,harassment
350,resah jd presiden hidup penuh drama pencitraan main ftv aja joko judulnya url,violence
351,agama kristen\ngolongan darah b\nasal san fernando valley,neutral
352,budha bunuh muslim myanmar,racist
353,yahudi bangke jerman ibadah,racist
354,bacot aja lu gitu maen ga nyalinya pengecut,violence
355,cina ga tau diuntung,racist
356,user hoax kodok biawak meroket sekop bangsat karbitan munafik,violence
357,yg ribut komunis blabla emoh baca yg baca kalo niat agitasi nyerang pemerintah pake cari simpatisan,violence
358,kerepotan menggoreng penggoreng aman anti lengket nikmati diskon 20 pembelian,neutral
359,gorengan nih gan drama gibahin bareng,neutral
360,user gak vital gimana udah inter gak bek kanan yg jd pembeda ya era maicon dambrosio baru2 kedatangan cancelo bagusnya\nhmmmmberarti kesimpulannya yg geblek ausilio \xf0\x9f\x98\x81\xf0,violence
361,user namanya jg agama munafik,racist
362,foto selfie sulit elunya ga menarik coba ngaca ya elu item sipit keriting,racist
363,mencium bau bau pecun url,harassment
364,berhenti konsumen wisata haji umoh yg menipu podusen wisata jiarah indonesia,neutral
365,pemburu nazi simon wiesenthal memegang fotofoto menggambarkan mantan kepala gestapo walter rauff van kamar gas bergerak mengeksekusi orangorang yahudi,neutral
366,user yg cacimaki penista agama ketauan poligami ngumpet2 digituin sih ogah,neutral
367,udahan aja ah male gw maen cupu cupu,violence
368,lu kacungnya musuh menang babi,violence
369,user user wkwkwkwk mampus pepet ujin ah tau ewe,harassment
370,orang bahagia merasakan kesedihan matahari hujan,neutral
371,azan tv manggil2 allah swt dungu biadab dihentikan acara catut nama tuhan dilanjutkan,violence
372,user user user user kelakuan ban cebong,racist
373,dah la baju yahudi betopi 4 ba tu geng jubah putih kopiah minyak atar bejanggut dahi belekuk bak ahli syurga ni betol2 out of place mohon ak direjam,neutral
374,user gua ge marah auto blacklist kehidupan gue\n\nsampah gunanya kalo ga didaur ulang,neutral
375,user user anjir rasanyaa bekas silit mah,harassment
376,user user cebong kepanasan ngawur \xf0\x9f\x98\x95\xf0\x9f\x98\x95,violence
377,amin smoga bertiga jd menampilkan terbaik menyumbangan medali sumsel,neutral
378,anak setan berisik kau mandul,violence
379,kesalahan lu bijak pencapaian lu sombong,neutral
380,membingkai bangkai menjadikannya pelajaran hidup,neutral
381,user edan aq masi newbie menangis liatnya yampun kartu r w aja masi dikit bat,neutral
382,nahklo pki alias partai korupsi indonesia diganyang ga,violence
383,perempuan kaya lo mending mati aja deh jelek aja gausa sok make up artist,harassment
384,buseeeet dijual gua kaya jablay,harassment
385,user user bijak petugas jajaran krl doang penumpang follower doang \xe2\x98\xb9\xef\xb8\x8f nyuruh orng utk mengerti ga mengerti kebutuhan orng bangke,neutral
386,user kyknya titit nya sambung trus pake accessoris jg,harassment
387,user mata w pa sipit tp skrg engga aneh pisan,neutral
388,ko ingt banci gigih nk url,harassment
389,mewaspadai cina komunis indonesia,racist
390,user banci kampungan heeee,harassment
391,user gembel ganteng ga dikasihani byk yg mencintainya asik asik jos,neutral
392,orang lemah balas dendam orang kuat memafkan orang pintar mengabaikan,neutral
393,memperlakukan orang seburuk perbuatan perlakukan orang perbuatan,neutral
394,user user emangnya najis,violence
395,user user user user user user user user user sastra e karl mark pentolan komunis rusia,neutral
396,user otak kayaknya bener bener bool deh mess trus harinua makan silit gtu,harassment
397,user user ganti kacung cebong mah gitu kalo,racist
398,heh cina belagu hak lu melarang,racist
399,hebat bicara cinta pegang quran sbagai pegangan hidup quran bicara cinta perang bunuh penggal,violence
400,user jomblo jablay,harassment
401,perjaka kq jual \nsok sok an booking tante idiot njir,harassment
402,user rev 1 jgn pilih ulama yg dg kafir munafik,violence
403,ngejaga kebersihan lingkungan tuh orang2 melek kewajibannya buang sampah ngomong petugas kebersihannya,neutral
404,terbaik indah dunia disentuh dirasakan hati,neutral
